ID,City,State,Population
8388,Wolcott,New York,"1,627"
8390,Ritzville,Washington,"1,626"
8389,Homer City,Pennsylvania,"1,626"
8391,Wheeler,Texas,"1,625"
8392,Oakley,Utah,"1,624"
8393,Ridgely,Maryland,"1,624"
8396,Grayville,Illinois,"1,623"
8395,Columbus,New Mexico,"1,623"
8394,Belleair Beach,Florida,"1,623"
8398,Shelbina,Missouri,"1,623"
8397,Salem,Arkansas,"1,623"
8400,Tryon,North Carolina,"1,621"
8399,Moville,Iowa,"1,621"
8401,Bethel,North Carolina,"1,620"
8402,Union City,Ohio,"1,620"
8405,North Bennington,Vermont,"1,619"
8404,East Bangor,Pennsylvania,"1,619"
8403,Earlville,Illinois,"1,619"
8408,Dayton,Indiana,"1,618"
8407,Caledonia,Michigan,"1,618"
8409,Hartley,Iowa,"1,618"
8406,Adrian,Missouri,"1,618"
8412,Trempealeau,Wisconsin,"1,618"
8411,Southern View,Illinois,"1,618"
8410,Perry,Ohio,"1,618"
8413,Warner,Oklahoma,"1,618"
8415,Reform,Alabama,"1,616"
8414,Harbor Beach,Michigan,"1,616"
8416,Osgood,Indiana,"1,615"
8417,Sorrento,Louisiana,"1,615"
8419,Manson,Iowa,"1,614"
8418,Elk Rapids,Michigan,"1,614"
8422,Ovid,Michigan,"1,613"
8421,Mill Hall,Pennsylvania,"1,613"
8420,Cresson,Pennsylvania,"1,613"
8424,Bourbon,Missouri,"1,612"
8423,Bayou Vista,Texas,"1,612"
8425,Liberty Hill,Texas,"1,612"
8426,Commercial Point,Ohio,"1,611"
8428,Mount Carroll,Illinois,"1,610"
8427,Carrier Mills,Illinois,"1,610"
8432,Neoga,Illinois,"1,609"
8431,Nashua,Iowa,"1,609"
8433,Wellington,Utah,"1,609"
8430,Dayton,Virginia,"1,609"
8429,Athens,New York,"1,609"
8434,Darien,Wisconsin,"1,608"
8436,Walnut Grove,Mississippi,"1,608"
8435,Poultney,Vermont,"1,608"
8437,Brooklyn,Indiana,"1,607"
8439,Whitehall,Wisconsin,"1,606"
8438,Harlan,Kentucky,"1,606"
8440,Comanche,Oklahoma,"1,604"
8441,Crested Butte,Colorado,"1,604"
8444,Springfield,Nebraska,"1,604"
8443,Luther,Oklahoma,"1,604"
8442,Kettle Falls,Washington,"1,604"
8446,Eleanor,West Virginia,"1,603"
8445,Corydon,Iowa,"1,603"
8447,Aberdeen,Ohio,"1,602"
8448,Cosmopolis,Washington,"1,601"
8449,Orwell,Ohio,"1,601"
8451,Shoreacres,Texas,"1,600"
8450,Logan,West Virginia,"1,600"
8454,Lusk,Wyoming,"1,599"
8453,Booker,Texas,"1,599"
8455,Plains,Texas,"1,599"
8452,Albion,Nebraska,"1,599"
8459,Del Norte,Colorado,"1,598"
8458,Daleville,Indiana,"1,598"
8457,Cologne,Minnesota,"1,598"
8456,Belle Plaine,Kansas,"1,598"
8460,Stockdale,Texas,"1,596"
8461,Grandview Plaza,Kansas,"1,595"
8462,Franklin,Texas,"1,594"
8463,Kersey,Colorado,"1,593"
8465,Rock Creek,Minnesota,"1,593"
8464,Mechanicsburg,Ohio,"1,593"
8467,Owingsville,Kentucky,"1,592"
8466,Norwood,New York,"1,592"
8468,Random Lake,Wisconsin,"1,592"
8469,River Hills,Wisconsin,"1,592"
8470,Olive Hill,Kentucky,"1,591"
8472,Hatch,New Mexico,"1,590"
8471,Dobson,North Carolina,"1,590"
8475,Stuart,Iowa,"1,589"
8474,Langhorne,Pennsylvania,"1,589"
8473,East Canton,Ohio,"1,589"
8476,Belhaven,North Carolina,"1,588"
8479,Muenster,Texas,"1,587"
8478,Gallitzin,Pennsylvania,"1,587"
8477,Corrigan,Texas,"1,587"
8480,Teutopolis,Illinois,"1,587"
8483,Wagner,South Dakota,"1,586"
8482,Meade,Kansas,"1,586"
8481,Hillsboro,North Dakota,"1,586"
8484,Coldwater,Mississippi,"1,585"
8486,Edmonton,Kentucky,"1,585"
8485,Crothersville,Indiana,"1,585"
8487,Hudson,Colorado,"1,585"
8489,Estancia,New Mexico,"1,584"
8488,Bangs,Texas,"1,584"
8491,Richland,Pennsylvania,"1,583"
8490,Gordonsville,Virginia,"1,583"
8492,Smith Center,Kansas,"1,583"
8495,Woodcreek,Texas,"1,582"
8494,Shiremanstown,Pennsylvania,"1,582"
8493,Port Dickinson,New York,"1,582"
8496,Clinton,Louisiana,"1,581"
8498,Sharon,Wisconsin,"1,580"
8497,Murfreesboro,Arkansas,"1,580"
8499,Brookside Village,Texas,"1,579"
8500,Dunsmuir,California,"1,579"
8503,Woodburn,Indiana,"1,578"
8502,McCrory,Arkansas,"1,578"
8501,Mason,Tennessee,"1,578"
8507,Montgomery,West Virginia,"1,577"
8506,Lookout Mountain,Georgia,"1,577"
8508,Pinehurst,Idaho,"1,577"
8505,Fulton,Texas,"1,577"
8504,Deposit,New York,"1,577"
8510,Weldon,North Carolina,"1,575"
8509,Chapin,South Carolina,"1,575"
8511,Bannockburn,Illinois,"1,574"
8512,New Paris,Ohio,"1,574"
8515,Sebree,Kentucky,"1,573"
8514,Montrose,Michigan,"1,573"
8516,Union City,Michigan,"1,573"
8513,Lexington,Mississippi,"1,573"
8518,Decatur,Tennessee,"1,572"
8517,Apollo,Pennsylvania,"1,572"
8520,Niagara,Wisconsin,"1,572"
8519,East Carbon-Sunnyside,Utah,"1,572"
8523,Stratford,Wisconsin,"1,571"
8522,Soap Lake,Washington,"1,571"
8524,Westville,Oklahoma,"1,571"
8521,Ponder,Texas,"1,571"
8525,Worthington,Kentucky,"1,571"
8527,Star Valley Ranch,Wyoming,"1,570"
8526,Nutter Fort,West Virginia,"1,570"
8529,Woodstock,Alabama,"1,569"
8528,Three Oaks,Michigan,"1,569"
8531,Fairmount Heights,Maryland,"1,567"
8530,Chester,Georgia,"1,567"
8532,Kingsley,Michigan,"1,567"
8533,Newfield,New Jersey,"1,567"
8535,Smethport,Pennsylvania,"1,566"
8534,Powhatan Point,Ohio,"1,566"
8536,Emerson,Georgia,"1,565"
8539,Schoolcraft,Michigan,"1,565"
8538,Milford,Indiana,"1,565"
8537,Logansport,Louisiana,"1,565"
8541,Kalida,Ohio,"1,564"
8540,De Soto,Illinois,"1,564"
8542,Lewiston,Minnesota,"1,564"
8546,Newport,Pennsylvania,"1,562"
8545,New Middletown,Ohio,"1,562"
8547,Rollingwood,Texas,"1,562"
8544,Monette,Arkansas,"1,562"
8543,Gearhart,Oregon,"1,562"
8550,Hines,Oregon,"1,561"
8549,Coal Run Village,Kentucky,"1,561"
8548,Blossom,Texas,"1,561"
8551,Zilwaukee,Michigan,"1,561"
8552,East Spencer,North Carolina,"1,560"
8553,Hillsdale,Missouri,"1,560"
8554,North Pekin,Illinois,"1,557"
8555,Kerens,Texas,"1,556"
8556,Snow Hill,North Carolina,"1,556"
8558,Tonka Bay,Minnesota,"1,555"
8557,Marion,Mississippi,"1,555"
8559,Caddo Mills,Texas,"1,554"
8561,Mexico,New York,"1,554"
8560,Mercersburg,Pennsylvania,"1,554"
8563,Mediapolis,Iowa,"1,553"
8562,Hancock,Maryland,"1,553"
8564,Monticello,Mississippi,"1,552"
8567,Seaside Park,New Jersey,"1,551"
8566,Marks,Mississippi,"1,551"
8565,Jefferson,North Carolina,"1,551"
8568,Limestone,Illinois,"1,550"
8569,Wardsville,Missouri,"1,550"
8571,Roseto,Pennsylvania,"1,548"
8570,Crescent City,Florida,"1,548"
8573,Tioga,North Dakota,"1,547"
8575,Warren,Minnesota,"1,547"
8574,Toquerville,Utah,"1,547"
8572,Pewee Valley,Kentucky,"1,547"
8577,Warsaw,Illinois,"1,546"
8576,Ackley,Iowa,"1,546"
8578,Cherokee,Oklahoma,"1,544"
8579,Herscher,Illinois,"1,544"
8580,Salisbury,Missouri,"1,544"
8582,Warren Park,Indiana,"1,543"
8581,Montgomery,Pennsylvania,"1,543"
8586,Westover,Alabama,"1,542"
8585,Waterville,New York,"1,542"
8584,Crescent,Oklahoma,"1,542"
8583,Centreville,Mississippi,"1,542"
8588,Salem,West Virginia,"1,541"
8587,Nescopeck,Pennsylvania,"1,541"
8589,Elgin,South Carolina,"1,540"
8590,Ferndale,Pennsylvania,"1,539"
8591,Owenton,Kentucky,"1,539"
8594,Hebron,Nebraska,"1,537"
8593,Galesville,Wisconsin,"1,537"
8592,Erie,Illinois,"1,537"
8595,Stratford,Oklahoma,"1,537"
8596,Hallsville,Missouri,"1,536"
8598,Paxtang,Pennsylvania,"1,535"
8597,Gordon,Nebraska,"1,535"
8599,Ferron,Utah,"1,534"
8600,Nederland,Colorado,"1,534"
8605,Lone Star,Texas,"1,532"
8604,Garrison,North Dakota,"1,532"
8603,East Hazel Crest,Illinois,"1,532"
8602,Dale,Indiana,"1,532"
8601,Anna,Ohio,"1,532"
8606,Englewood,Tennessee,"1,530"
8607,Hamilton,Indiana,"1,530"
8608,Ligonier,Pennsylvania,"1,530"
8610,Watertown,Tennessee,"1,529"
8609,East Berlin,Pennsylvania,"1,529"
8611,Castle Dale,Utah,"1,528"
8614,Neligh,Nebraska,"1,527"
8613,Fayette,Mississippi,"1,527"
8615,Stevenson,Washington,"1,527"
8612,Avon,Minnesota,"1,527"
8616,Woodland Hills,Utah,"1,527"
8617,Winchester,Missouri,"1,526"
8620,Susquehanna Depot,Pennsylvania,"1,525"
8619,Nooksack,Washington,"1,525"
8618,Hawthorne,Florida,"1,525"
8622,Graysville,Tennessee,"1,523"
8621,Brooklet,Georgia,"1,523"
8623,Hartington,Nebraska,"1,523"
8624,Waterford,Pennsylvania,"1,523"
8626,Shreve,Ohio,"1,521"
8625,Brooklyn Heights,Ohio,"1,521"
8629,Natalia,Texas,"1,520"
8628,Lincolnton,Georgia,"1,520"
8627,Augusta,Wisconsin,"1,520"
8630,Mammoth,Arizona,"1,519"
8632,Victory Gardens,New Jersey,"1,519"
8631,Stamps,Arkansas,"1,519"
8634,Woodmont,Connecticut,"1,518"
8633,Colfax,Louisiana,"1,518"
8635,Glenville,West Virginia,"1,517"
8638,Shepherd,Michigan,"1,516"
8637,Huntsville,Missouri,"1,516"
8639,Stanton,Nebraska,"1,516"
8636,Edmonston,Maryland,"1,516"
8640,Brookston,Indiana,"1,515"
8641,New Plymouth,Idaho,"1,515"
8643,Mount Pulaski,Illinois,"1,514"
8642,Granger,Texas,"1,514"
8644,New Haven,West Virginia,"1,514"
8646,Baird,Texas,"1,513"
8645,Avoca,Iowa,"1,513"
8647,Freedom,Pennsylvania,"1,512"
8648,Charlotte,Tennessee,"1,511"
8650,Parkston,South Dakota,"1,511"
8649,Oak Hill,Ohio,"1,511"
8651,White Pigeon,Michigan,"1,511"
8654,Colma,California,"1,510"
8653,Bennington,Nebraska,"1,510"
8652,Belle,Missouri,"1,510"
8656,Redfield,Arkansas,"1,510"
8655,Mount Vernon,Alabama,"1,510"
8661,Oakland,Iowa,"1,509"
8660,Groton,South Dakota,"1,509"
8662,Oakwood,Illinois,"1,509"
8659,Cambridge,Wisconsin,"1,509"
8664,Sylvan Springs,Alabama,"1,509"
8658,Burkesville,Kentucky,"1,509"
8663,St. Regis Park,Kentucky,"1,509"
8657,Blossburg,Pennsylvania,"1,509"
8665,Pilot Rock,Oregon,"1,508"
8666,Tylertown,Mississippi,"1,508"
8669,Marathon City,Wisconsin,"1,507"
8668,Guthrie Center,Iowa,"1,507"
8667,Babbitt,Minnesota,"1,507"
8670,Osburn,Idaho,"1,507"
8671,Leland Grove,Illinois,"1,506"
8672,Audubon Park,Kentucky,"1,505"
8673,Johnsonville,South Carolina,"1,504"
8674,Manito,Illinois,"1,503"
8677,Winchester,Illinois,"1,503"
8676,Shoshone,Idaho,"1,503"
8675,Seadrift,Texas,"1,503"
8678,Vonore,Tennessee,"1,502"
8680,Vance,Alabama,"1,501"
8679,Honeyville,Utah,"1,501"
8681,Ashley,Ohio,"1,500"
8682,Glen Alpine,North Carolina,"1,500"
8684,Fosston,Minnesota,"1,499"
8683,Catawissa,Pennsylvania,"1,499"
8685,Indian Shores,Florida,"1,499"
8687,Virginia,Illinois,"1,498"
8686,Gower,Missouri,"1,498"
8690,Slater,Iowa,"1,497"
8689,Fort Loramie,Ohio,"1,497"
8688,Bridgeport,Nebraska,"1,497"
8691,Avis,Pennsylvania,"1,496"
8693,Porterdale,Georgia,"1,495"
8692,Hoschton,Georgia,"1,495"
8694,Cannelton,Indiana,"1,494"
8695,Port Barrington,Illinois,"1,494"
8698,Monona,Iowa,"1,493"
8697,Kenly,North Carolina,"1,493"
8699,Waterman,Illinois,"1,493"
8696,Bruceville-Eddy,Texas,"1,493"
8700,Williamsville,Illinois,"1,493"
8701,Atlantic Beach,North Carolina,"1,492"
8702,Kremmling,Colorado,"1,492"
8704,Montrose,Pennsylvania,"1,491"
8703,Bismarck,Missouri,"1,491"
8705,Terra Alta,West Virginia,"1,491"
8708,Orfordville,Wisconsin,"1,490"
8707,Dundas,Minnesota,"1,490"
8706,Duncannon,Pennsylvania,"1,490"
8709,Annetta,Texas,"1,489"
8710,Greenup,Illinois,"1,489"
8711,West Salem,Ohio,"1,489"
8713,Rehoboth Beach,Delaware,"1,488"
8712,Celina,Tennessee,"1,488"
8714,Stanfield,North Carolina,"1,488"
8716,Thorntown,Indiana,"1,487"
8715,Elizabethville,Pennsylvania,"1,487"
8717,Corning,Iowa,"1,486"
8718,Wyoming,Delaware,"1,486"
8719,Elizabeth,Pennsylvania,"1,485"
8720,Warsaw,Virginia,"1,485"
8723,Woodsboro,Texas,"1,484"
8722,Lynchburg,Ohio,"1,484"
8721,Genola,Utah,"1,484"
8725,Redington Beach,Florida,"1,483"
8724,Bangor,Wisconsin,"1,483"
8726,Moroni,Utah,"1,482"
8729,Versailles,Pennsylvania,"1,482"
8728,Rehobeth,Alabama,"1,482"
8727,Oronoco,Minnesota,"1,482"
8730,Worthington Hills,Kentucky,"1,481"
8733,Meridian,Texas,"1,480"
8732,Head of the Harbor,New York,"1,480"
8734,Rural Retreat,Virginia,"1,480"
8731,Chesapeake,West Virginia,"1,480"
8735,Saxonburg,Pennsylvania,"1,480"
8736,Benld,Illinois,"1,478"
8738,Grove Hill,Alabama,"1,478"
8737,Greene,New York,"1,478"
8740,Hackleburg,Alabama,"1,477"
8739,Fayette,Iowa,"1,477"
8742,Edgewood,Texas,"1,476"
8741,Chapel Hill,Tennessee,"1,476"
8745,Whitmire,South Carolina,"1,475"
8744,Stacy,Minnesota,"1,475"
8743,North Redington Beach,Florida,"1,475"
8746,Culver,Oregon,"1,474"
8748,Windsor,Pennsylvania,"1,474"
8747,Roxana,Illinois,"1,474"
8749,Chatham,Virginia,"1,473"
8751,Tarkio,Missouri,"1,473"
8750,Iota,Louisiana,"1,473"
8753,Roaming Shores,Ohio,"1,472"
8752,Dixon,Missouri,"1,472"
8755,West Liberty,West Virginia,"1,471"
8754,Claycomo,Missouri,"1,471"
8758,Quinlan,Texas,"1,470"
8757,Clio,Alabama,"1,470"
8756,Burns,Tennessee,"1,470"
8761,Urbana,Iowa,"1,469"
8760,Fox Lake,Wisconsin,"1,469"
8759,Ackerman,Mississippi,"1,469"
8762,Rainelle,West Virginia,"1,468"
8763,Runaway Bay,Texas,"1,467"
8765,Birch Run,Michigan,"1,466"
8764,Bel-Nor,Missouri,"1,466"
8769,Queen City,Texas,"1,466"
8768,Morris,Oklahoma,"1,466"
8767,Laflin,Pennsylvania,"1,466"
8766,Darmstadt,Indiana,"1,466"
8770,Akron,Iowa,"1,465"
8771,Albion,Pennsylvania,"1,465"
8773,Pine Prairie,Louisiana,"1,465"
8772,Macedon,New York,"1,465"
8777,Pinebluff,North Carolina,"1,464"
8776,Marble Hill,Missouri,"1,464"
8775,Colmar Manor,Maryland,"1,464"
8774,Castleton-on-Hudson,New York,"1,464"
8779,Somerset,Ohio,"1,463"
8778,Arlington,Ohio,"1,463"
8782,Johnson,Vermont,"1,462"
8781,Girardville,Pennsylvania,"1,462"
8780,Biltmore Forest,North Carolina,"1,462"
8783,Lambert,Mississippi,"1,462"
8786,Woodward,Iowa,"1,461"
8785,Keystone Heights,Florida,"1,461"
8784,Hurley,Wisconsin,"1,461"
8787,Baldwin,Florida,"1,460"
8789,Cuba,New York,"1,460"
8788,Cleveland,Wisconsin,"1,460"
8791,Seven Points,Texas,"1,460"
8790,Mancos,Colorado,"1,460"
8794,Walford,Iowa,"1,459"
8793,Newton,Alabama,"1,459"
8792,Burton,Ohio,"1,459"
8795,Coalville,Utah,"1,457"
8796,Ortonville,Michigan,"1,457"
8798,Fort Benton,Montana,"1,456"
8797,Bells,Texas,"1,456"
8800,Oakdale,Pennsylvania,"1,456"
8799,Jackson Center,Ohio,"1,456"
8802,Hill City,Kansas,"1,455"
8801,Clarendon,Arkansas,"1,455"
8803,Manning,Iowa,"1,455"
8805,Logan,Iowa,"1,454"
8804,Edgar,Wisconsin,"1,454"
8809,State Center,Iowa,"1,452"
8808,Newberry,Michigan,"1,452"
8807,Chesterfield,South Carolina,"1,452"
8806,Bryson City,North Carolina,"1,452"
8810,Edison,Georgia,"1,451"
8811,Rotan,Texas,"1,451"
8814,Brooklyn,Wisconsin,"1,450"
8813,Bonduel,Wisconsin,"1,450"
8812,Ash Grove,Missouri,"1,450"
8815,Leoti,Kansas,"1,450"
8817,Glade Spring,Virginia,"1,448"
8816,Depoe Bay,Oregon,"1,448"
8818,Fair Grove,Missouri,"1,447"
8819,Wolfe City,Texas,"1,447"
8821,Glen Dale,West Virginia,"1,446"
8820,Coloma,Michigan,"1,446"
8823,Sweet Springs,Missouri,"1,446"
8822,Mound Bayou,Mississippi,"1,446"
8825,Pittsville,Maryland,"1,445"
8824,Dover,Tennessee,"1,445"
8826,Arma,Kansas,"1,444"
8827,Lake Waccamaw,North Carolina,"1,444"
8828,Pilot Mountain,North Carolina,"1,444"
8829,Sackets Harbor,New York,"1,443"
8830,Exmore,Virginia,"1,442"
8832,West Baraboo,Wisconsin,"1,442"
8831,Philo,Illinois,"1,442"
8834,Beaver,Oklahoma,"1,441"
8833,Apache,Oklahoma,"1,441"
8835,Monrovia,Indiana,"1,441"
8836,Plandome,New York,"1,441"
8837,Ringgold,Louisiana,"1,441"
8842,Richmond,Minnesota,"1,439"
8841,North Lewisburg,Ohio,"1,439"
8840,Mullens,West Virginia,"1,439"
8839,Kittitas,Washington,"1,439"
8838,Copper Canyon,Texas,"1,439"
8843,Kilmarnock,Virginia,"1,438"
8846,Huntington Bay,New York,"1,437"
8845,Fort Recovery,Ohio,"1,437"
8844,Forest,Ohio,"1,437"
8850,Winfield,Missouri,"1,437"
8849,Standish,Michigan,"1,437"
8848,Montello,Wisconsin,"1,437"
8847,Malvern,Alabama,"1,437"
8851,New Beaver,Pennsylvania,"1,436"
8852,Sun Valley,Idaho,"1,436"
8853,Alvord,Texas,"1,435"
8856,Irwindale,California,"1,434"
8857,South Palm Beach,Florida,"1,434"
8855,Bruceton,Tennessee,"1,434"
8854,Bremen,Ohio,"1,434"
8858,Shortsville,New York,"1,433"
8859,Madison,Minnesota,"1,432"
8860,Young Harris,Georgia,"1,431"
8862,Port Gibson,Mississippi,"1,430"
8861,Pleak,Texas,"1,430"
8864,Lithopolis,Ohio,"1,429"
8863,Linn,Missouri,"1,429"
8865,Marmet,West Virginia,"1,429"
8866,Gridley,Illinois,"1,427"
8870,Vanceburg,Kentucky,"1,427"
8869,Towanda,Kansas,"1,427"
8868,South Coatesville,Pennsylvania,"1,427"
8867,Kingsley,Iowa,"1,427"
8872,Cornell,Wisconsin,"1,426"
8871,Brocton,New York,"1,426"
8875,Westport,Indiana,"1,426"
8874,Silver Lake,Kansas,"1,426"
8873,Langhorne Manor,Pennsylvania,"1,426"
8878,Greenwich,Ohio,"1,425"
8877,Dassel,Minnesota,"1,425"
8876,Cheswold,Delaware,"1,425"
8880,Tracy City,Tennessee,"1,425"
8879,Paonia,Colorado,"1,425"
8882,Montezuma,Iowa,"1,424"
8881,Cadott,Wisconsin,"1,424"
8883,Wellman,Iowa,"1,424"
8885,Parsons,West Virginia,"1,423"
8884,Grandview,Illinois,"1,423"
8887,Helena,Oklahoma,"1,422"
8886,Dawson,Minnesota,"1,422"
8891,St. Leo,Florida,"1,422"
8890,Somerville,Texas,"1,422"
8889,Perryville,Arkansas,"1,422"
8888,Mansura,Louisiana,"1,422"
8892,Hillsboro,Wisconsin,"1,421"
8893,Oblong,Illinois,"1,421"
8895,Miller,South Dakota,"1,420"
8894,Middleburgh,New York,"1,420"
8896,Eagle River,Wisconsin,"1,419"
8899,Kincaid,Illinois,"1,419"
8898,Grapeland,Texas,"1,419"
8897,Gardner,Illinois,"1,419"
8900,Clarks Green,Pennsylvania,"1,418"
8901,Pemberville,Ohio,"1,418"
8902,Gunter,Texas,"1,417"
8906,Worthington,Indiana,"1,416"
8905,Raleigh,Mississippi,"1,416"
8904,Grand Isle,Louisiana,"1,416"
8903,Centerfield,Utah,"1,416"
8908,Lakeshire,Missouri,"1,415"
8907,Black Earth,Wisconsin,"1,415"
8909,Manton,Michigan,"1,415"
8910,Mountain Village,Colorado,"1,415"
8911,Stanton,Michigan,"1,415"
8912,Robersonville,North Carolina,"1,414"
8915,Sundown,Texas,"1,413"
8914,Millbrook,New York,"1,413"
8913,Brooklyn,Iowa,"1,413"
8916,Culver,Indiana,"1,412"
8919,Woodbine,Iowa,"1,412"
8918,Waverly,Minnesota,"1,412"
8917,Dunlap,Illinois,"1,412"
8921,Sutton,Nebraska,"1,411"
8920,Richland,Georgia,"1,411"
8923,Markesan,Wisconsin,"1,410"
8922,Bedford,Iowa,"1,410"
8924,Pomeroy,Washington,"1,410"
8927,Kingsford Heights,Indiana,"1,409"
8926,Clermont,Indiana,"1,409"
8925,Centreville,Michigan,"1,409"
8929,Sumas,Washington,"1,409"
8928,La Vernia,Texas,"1,409"
8931,Flatonia,Texas,"1,408"
8930,Felton,Delaware,"1,408"
8932,Flomaton,Alabama,"1,408"
8933,Pioneer,Ohio,"1,408"
8934,Guthrie,Kentucky,"1,407"
8939,Oxford,New York,"1,407"
8938,Mishicot,Wisconsin,"1,407"
8940,Wendover,Utah,"1,407"
8937,Manteo,North Carolina,"1,407"
8936,Lenox,Iowa,"1,407"
8935,Kinsley,Kansas,"1,407"
8943,Crosby,North Dakota,"1,406"
8942,Columbine Valley,Colorado,"1,406"
8941,Baxter,Tennessee,"1,406"
8944,Ivanhoe,Texas,"1,406"
8945,Livonia,Louisiana,"1,405"
8947,Gueydan,Louisiana,"1,404"
8946,Durand,Illinois,"1,404"
8948,Locust Grove,Oklahoma,"1,404"
8949,Odon,Indiana,"1,404"
8950,Blawnox,Pennsylvania,"1,403"
8953,Granger,Iowa,"1,402"
8951,Atglen,Pennsylvania,"1,402"
8952,Crainville,Illinois,"1,402"
8955,Fennville,Michigan,"1,401"
8954,Dover,Arkansas,"1,401"
8956,Wymore,Nebraska,"1,401"
8958,New Windsor,Maryland,"1,400"
8957,Bagley,Minnesota,"1,400"
8959,Hazen,Arkansas,"1,399"
8961,Rome City,Indiana,"1,399"
8960,Montague,California,"1,399"
8962,Colwich,Kansas,"1,398"
8963,Earlham,Iowa,"1,397"
8964,Schwenksville,Pennsylvania,"1,397"
8965,Terre Hill,Pennsylvania,"1,397"
8966,Lakeside,Texas,"1,396"
8968,Webb,Alabama,"1,396"
8967,Sanborn,Iowa,"1,396"
8971,Loving,New Mexico,"1,395"
8970,Frenchtown,New Jersey,"1,395"
8972,Oak Leaf,Texas,"1,395"
8969,Crump,Tennessee,"1,395"
8975,Elizabeth,Colorado,"1,394"
8974,Clifton,Illinois,"1,394"
8973,Avondale,Pennsylvania,"1,394"
8977,Vian,Oklahoma,"1,394"
8976,Reese,Michigan,"1,394"
8978,Carbondale,Kansas,"1,393"
8980,Olla,Louisiana,"1,393"
8979,Menard,Texas,"1,393"
8984,Crystal Falls,Michigan,"1,392"
8983,Clarksville,Iowa,"1,392"
8982,Bertram,Texas,"1,392"
8981,Bell Acres,Pennsylvania,"1,392"
8987,Manchester,Kentucky,"1,391"
8986,Kimball,Tennessee,"1,391"
8985,Blue Ridge,Georgia,"1,391"
8988,Bryn Athyn,Pennsylvania,"1,390"
8991,New Rockford,North Dakota,"1,390"
8990,Greenland,Arkansas,"1,390"
8989,Gleason,Tennessee,"1,390"
8992,West Conshohocken,Pennsylvania,"1,390"
8995,Nashotah,Wisconsin,"1,389"
8994,Long Beach,Washington,"1,389"
8996,Okawville,Illinois,"1,389"
8993,Holstein,Iowa,"1,389"
8997,Wakefield,Nebraska,"1,389"
8998,Capitan,New Mexico,"1,388"
8999,Lone Tree,Iowa,"1,388"
9003,Velda City,Missouri,"1,387"
9001,Sea Bright,New Jersey,"1,387"
9002,St. Elmo,Illinois,"1,387"
9003,Velda City,Missouri,"1,387"
9004,Walnut Grove,Georgia,"1,387"
9005,Blair,Wisconsin,"1,386"
9006,Mendon,Utah,"1,386"
9007,Ness City,Kansas,"1,386"
9008,Darrington,Washington,"1,385"
9009,Earlington,Kentucky,"1,385"
9010,Awendaw,South Carolina,"1,384"
9011,Loretto,Pennsylvania,"1,384"
9012,Salina,Oklahoma,"1,384"
9013,Walnut Cove,North Carolina,"1,383"
9014,Ardmore,Alabama,"1,382"
9015,Big Sandy,Texas,"1,382"
9016,Claremont,North Carolina,"1,382"
9017,Gretna,Florida,"1,382"
9018,Lake Hamilton,Florida,"1,382"
9019,Mount Wolf,Pennsylvania,"1,381"
9021,Blades,Delaware,"1,380"
9020,Arlington,Georgia,"1,380"
9023,Woodbranch,Texas,"1,380"
9022,Elmore,Ohio,"1,380"
9026,Westlake,Texas,"1,379"
9025,Nora Springs,Iowa,"1,379"
9024,Johnson City,Kansas,"1,379"
9027,Hartford,Illinois,"1,378"
9029,Springfield,Colorado,"1,378"
9028,Orangeville,Utah,"1,378"
9033,Rosebud,Texas,"1,377"
9034,White Cloud,Michigan,"1,377"
9035,Woodway,Washington,"1,377"
9030,Ironton,Missouri,"1,377"
9031,Luna Pier,Michigan,"1,377"
9032,Moody,Texas,"1,377"
9043,Stuart,Virginia,"1,376"
9036,Ceredo,West Virginia,"1,376"
9037,Frazee,Minnesota,"1,376"
9038,Harper,Kansas,"1,376"
9039,Hubbard,Texas,"1,376"
9040,New London,Minnesota,"1,376"
9041,Oakland,Missouri,"1,376"
9042,Rockaway Beach,Oregon,"1,376"
9044,Phillips,Wisconsin,"1,375"
9046,Pine Mountain,Georgia,"1,374"
9045,Ansted,West Virginia,"1,374"
9047,Hughestown,Pennsylvania,"1,373"
9048,Panama,Oklahoma,"1,373"
9049,Park River,North Dakota,"1,373"
9050,Ravenna,Nebraska,"1,373"
9051,Wyoming,Illinois,"1,373"
9052,Ferndale,California,"1,372"
9054,Glyndon,Minnesota,"1,371"
9053,Cedarville,Arkansas,"1,371"
9055,New Pekin,Indiana,"1,371"
9057,Monroeville,Ohio,"1,370"
9056,Boyd,Texas,"1,370"
9058,Russells Point,Ohio,"1,370"
9059,Willacoochee,Georgia,"1,370"
9060,Tatum,Texas,"1,369"
9061,Williamstown,Pennsylvania,"1,369"
9062,Cottage City,Maryland,"1,368"
9065,Winnebago,Minnesota,"1,367"
9063,Beechwood Village,Kentucky,"1,367"
9064,New Fairview,Texas,"1,367"
9068,Parker City,Indiana,"1,366"
9067,Forreston,Illinois,"1,366"
9066,Elroy,Wisconsin,"1,366"
9069,Wayne,West Virginia,"1,366"
9072,Surrey,North Dakota,"1,365"
9070,Advance,Missouri,"1,365"
9071,Honaker,Virginia,"1,365"
9073,Shoemakersville,Pennsylvania,"1,364"
9074,Sublette,Kansas,"1,364"
9075,Cerro Gordo,Illinois,"1,363"
9079,Mancelona,Michigan,"1,363"
9078,Livonia,New York,"1,363"
9077,Lanark,Illinois,"1,363"
9076,Charlack,Missouri,"1,363"
